node_id,handle,canonical_name,object_type,in_degree,out_degree,total_degree,pagerank,scc_id,scc_size,seed_distance_undirected,is_seed,is_giant_scc,instance_count,namespace_count,equation_count
1,@0_4_wavefunction_collapse_as_a_geometric_event,0.4 Wavefunction Collapse as a Geometric Event,mathematical_object,2,2,4,0.00035317495893540617,0,1260,2,False,True,2,2,0
2,@LIGO_observation,Family: `F17_OBSERVABLES`,mathematical_object,43,134,177,0.0006393278637876904,0,1260,1,False,True,2,2,0
3,@Pi_Q,Time-Space / QFT Projection Handoff,projection,1,2,3,0.00021407818195868085,67,1,3,False,False,1,1,0
4,@Pi_QCD,CRD -> QCD Composite Readout,partial_map,1,0,1,0.000414836271031386,63,1,7,False,False,1,1,0
5,@Q_handoff,Canonical Quantum-Field Handoff Object,qft_handoff,1,1,2,0.00020362942691915694,66,1,4,False,False,1,1,0
6,@S0,@S0,mathematical_object,0,2,2,0.00011264619953181728,73,1,2,False,False,2,2,0
7,@S3,@S3,mathematical_object,1,1,2,0.0002901481636139044,0,1260,3,False,True,2,2,0
8,@S4,@S4,mathematical_object,1,1,2,0.00038530544421805515,0,1260,3,False,True,2,2,0
9,@S_RH,Rainbow-Road / Helicon Correspondence,partial_correspondence,2,2,4,0.0002386634877510234,0,1260,2,False,True,1,1,0
10,@acceleration_equation,Family: `F18_COSMOLOGY`,mathematical_object,416,136,552,0.0026972465729886205,0,1260,1,False,True,2,2,0
11,@accretion_disk,Family: `F17_OBSERVABLES`,mathematical_object,2,134,136,0.0001179156576733995,0,1260,1,False,True,2,2,0
12,@achronal_set,Family: `F11_PENROSE_GLOBAL`,mathematical_object,33,132,165,0.00045061280553830964,0,1260,1,False,True,2,2,0
13,@action_and_variation,Action and variation,mathematical_object,1,1,2,0.00024186778934912506,0,1260,2,False,True,2,2,0
14,@action_through_geometry,Action Through Geometry,mathematical_object,1,1,2,0.00024186778934912506,0,1260,2,False,True,2,2,0
15,@adaptive_interface_field,Adaptive Interface Field,mathematical_object,1,1,2,0.00024186778934912506,0,1260,2,False,True,2,2,0
16,@adaptive_phase_interface,Adaptive Phase Interface,mathematical_object,1,1,2,0.000261098036109078,0,1260,3,False,True,2,2,0
17,@adaptive_phase_interfaces_and_assistive_cognitive_technologies,Adaptive Phase Interfaces and Assistive Cognitive Technologies,mathematical_object,1,1,2,0.000261098036109078,0,1260,3,False,True,2,2,0
18,@adjacency_lattice,Adjacency Lattice,mathematical_object,3,152,155,0.00046795762573436853,0,1260,1,False,True,2,2,0
19,@adm_decomposition,Family: `F6_INITIAL_VALUE_ADM`,mathematical_object,26,147,173,0.0002390169997201574,0,1260,1,False,True,2,2,0
20,@adm_mass,Family: `F7_SYMMETRIES_CONSERVED`,mathematical_object,8,140,148,0.0003321598972594467,0,1260,1,False,True,2,2,0
21,@admiral_throne_interaction,Admiral–Throne Interaction,mathematical_object,1,1,2,0.00024186778934912506,0,1260,2,False,True,2,2,0
22,@admissibility,Admissibility,mathematical_object,19,5,24,0.00109726490264449,0,1260,2,False,True,4,4,0
23,@admissible_continuation,Admissible Continuation,mathematical_object,7,173,180,0.0006120555070832318,0,1260,1,False,True,4,4,0
24,@admissible_equivalence,Admissible Equivalence,mathematical_object,13,154,167,0.0001698099681110868,0,1260,1,False,True,4,4,0
25,@aerodynamic_toolkit_in_er_fluid,Aerodynamic Toolkit in ER-Fluid,mathematical_object,1,1,2,0.0002352783665592439,0,1260,3,False,True,2,2,0
26,@affine_connection,Family: `F3_CONNECTION_MOTION`,mathematical_object,414,137,551,0.0026766628816637136,0,1260,1,False,True,2,2,0
27,@affine_parameter,Family: `F3_CONNECTION_MOTION`,mathematical_object,1,132,133,0.00012080242607970728,0,1260,1,False,True,2,2,0
28,@agency,Agency,mathematical_object,3,147,150,0.00012025517018818626,0,1260,1,False,True,2,2,0
29,@angular_generator,@angular_generator,mathematical_object,1,0,1,0.00011893622949397146,36,1,1,False,False,2,2,0
30,@angular_momentum_parameter,Family: `F9_EXACT_SOLUTIONS`,mathematical_object,4,132,136,0.00018151524440865457,0,1260,1,False,True,2,2,0
31,@angular_reduction,Angular Reduction,mathematical_object,1,0,1,0.00011893622949397146,37,1,1,False,False,2,2,0
32,@angular_reduction_field,Angular Reduction Field,mathematical_object,2,3,5,0.0003378901748636693,0,1260,1,False,True,3,3,0
33,@angular_reduction_theorem,Angular Reduction Theorem,mathematical_object,2,3,5,0.00033890248904119185,0,1260,2,False,True,2,2,0
34,@annihilation_operator,@annihilation_operator,mathematical_object,2,2,4,0.00014908536527859196,0,1260,1,False,True,2,2,0
35,@anomaly_freedom,@anomaly_freedom,mathematical_object,1,0,1,0.0004441464836445278,43,1,2,False,False,2,2,0
36,@anti_de_sitter_spacetime,Anti De Sitter Spacetime,mathematical_object,3,132,135,0.0001633966603798605,0,1260,1,False,True,4,4,0
37,@apex_forms_and_predatory_resonance,Apex Forms and Predatory Resonance,mathematical_object,1,1,2,0.000261098036109078,0,1260,3,False,True,2,2,0
38,@api_endpoints_added,API Endpoints Added,mathematical_object,1,148,149,0.00011509979365946183,0,1260,1,False,True,2,2,0
39,@apparent_horizon,Family: `F10_BLACK_HOLE_GEOMETRY`,mathematical_object,40,135,175,0.0005074537666726254,0,1260,1,False,True,2,2,0
40,@appendix_10_numerical_schemes_for_phase_and_er_foam_evolution,Appendix 10: Numerical Schemes for Phase and ER-Foam Evolution,mathematical_object,1,1,2,0.000261098036109078,0,1260,3,False,True,2,2,0
41,@appendix_12_mk_43_ultra_prime_field_geometry_and_the_twin_prime_experiment,Appendix 12: MK--43 Ultra Prime-Field Geometry and the Twin Prime Experiment,mathematical_object,1,1,2,0.00024186778934912506,0,1260,2,False,True,2,2,0
