relation,canonical_typed_edges,witness_count,source_handle_count,target_handle_count,formalization_class
COMPOSED_DEPENDENCY,57872,118450,453,269,dependency_ordering
SUPPORTS,8509,17022,213,319,support_constraint_admissibility
DEPENDS_ON,5965,11948,347,259,dependency_ordering
CLASSIFIED_IN_PHYSICS_NEIGHBORHOOD,1091,1091,851,13,other_or_source_specific
INDEXES_RELATED_OBJECT,1091,1091,13,851,coupling_connectivity
GLOBALLY_FEEDS_BLACK_HOLE,445,890,445,1,domain_specific_black_hole
FEEDS_BLACK_HOLE_MODEL,444,888,444,1,domain_specific_black_hole
BLACK_HOLE_CROSS_FAMILY_NODE,435,870,435,1,domain_specific_black_hole
BLACK_HOLE_GLOBAL_REACHES,370,740,1,370,domain_specific_black_hole
BLACK_HOLE_MODEL_REACHES,370,740,1,370,domain_specific_black_hole
FAMILY_DEPENDS_ON,323,720,323,17,dependency_ordering
SUPPORTS_FAMILY,323,646,17,323,support_constraint_admissibility
DIRECTED_TO,192,488,122,124,dependency_ordering
FORMALLY_DEPENDS_ON,156,405,104,98,dependency_ordering
VERTICAL_CHAIN,155,383,115,119,dependency_ordering
FORMALLY_SUPPORTS,153,306,95,102,support_constraint_admissibility
USED_BY,137,353,91,103,other_or_source_specific
DECLARES_PARENT,108,108,33,58,provenance_recovery_history
DEPENDS_TO,105,278,81,79,dependency_ordering
EXPLICIT_ARROW,104,276,80,78,other_or_source_specific
RECOVERED_DEPENDENCY,104,276,80,78,dependency_ordering
LANGUAGE_COMPOSES,43,86,14,18,composition_transformation_transport
RESOLVED_VERTICAL_CHAIN,41,99,32,31,dependency_ordering
GOVERNS,39,78,4,36,support_constraint_admissibility
REALIZES,33,83,30,27,realization_representation_readout
REQUIRES,33,35,14,21,support_constraint_admissibility
BINDS_NATIVE_HANDLE,30,30,10,29,other_or_source_specific
GENERATES,29,60,24,28,generation_causation
CONNECTS_TO,28,59,10,10,coupling_connectivity
GENERATED_BY,26,54,25,23,provenance_recovery_history
ENGINE_EXPOSES,25,25,1,25,other_or_source_specific
REALIZED_BY,22,45,18,21,realization_representation_readout
ADMITS,20,46,13,17,other_or_source_specific
GENERALIZES,18,36,15,7,other_or_source_specific
COUPLES_TO,17,23,11,12,coupling_connectivity
LANGUAGE_EXPRESSES,16,32,16,14,language_meta_formal
MATHEMATICS_HAS_LANGUAGE_PROJECTION,16,32,14,16,realization_representation_readout
USES,16,23,11,13,coupling_connectivity
CONSTRAINED_BY,15,26,12,11,support_constraint_admissibility
DEFINES,15,30,10,14,other_or_source_specific
MOUNTS,15,15,7,13,other_or_source_specific
ADMITTED_BY,14,28,11,8,other_or_source_specific
CONDITIONAL_ON,14,14,10,12,support_constraint_admissibility
CONSTRAINS,13,24,8,8,support_constraint_admissibility
DERIVED_FROM,13,19,12,10,provenance_recovery_history
BRIDGES_TO_SOURCE_HANDLE,12,12,9,12,provenance_recovery_history
FAMILY_GENERATES_ROOT,12,24,12,12,generation_causation
SPECIALIZES,12,26,9,9,other_or_source_specific
PROJECTS_TO,11,27,7,8,realization_representation_readout
CONTAINS,10,22,8,10,containment_typing_structure
DETERMINES,10,22,6,8,other_or_source_specific
SPECIALIZES_AS,10,19,2,10,other_or_source_specific
HISTORICAL_PRECEDENT_FOR,9,9,5,5,dependency_ordering
LANGUAGE_APPROXIMATES,9,18,9,8,language_meta_formal
READS,9,13,2,9,realization_representation_readout
REPRESENTED_BY,9,19,8,9,realization_representation_readout
CONTRIBUTES_TO,8,22,8,7,coupling_connectivity
DETERMINED_BY,8,16,8,5,other_or_source_specific
INSTANCE_OF,8,16,8,8,containment_typing_structure
OPTIONAL_COUPLING,8,8,6,7,other_or_source_specific
RECEIVES_CONTRIBUTION_FROM,8,16,7,8,coupling_connectivity
SOURCE_DEFINES,8,8,6,8,provenance_recovery_history
COMPARES,7,12,4,5,validation_observation
CONTAINED_IN,7,14,7,6,containment_typing_structure
DERIVES_TEMPLATE,7,7,1,7,other_or_source_specific
INTERFACES_WITH,7,13,4,4,coupling_connectivity
ONTOLOGICALLY_DEPENDS_ON,6,12,6,6,dependency_ordering
ONTOLOGICALLY_SUPPORTS,6,12,6,6,support_constraint_admissibility
PROJECTED_FROM,6,12,6,5,realization_representation_readout
REACHES_DEPENDENCY,6,12,1,6,dependency_ordering
REPRESENTS,6,13,6,5,realization_representation_readout
TARGETS,6,8,6,5,other_or_source_specific
ARCHITECT_OPERATOR_MAPS_TO,5,10,5,5,composition_transformation_transport
DOWNSTREAM_TO,5,5,1,5,dependency_ordering
ENTERS,5,11,5,2,coupling_connectivity
MATHEMATICS_HAS_ARCHITECT_OPERATOR,5,10,5,5,language_meta_formal
ONTOLOGICAL_CLOSURE,5,10,5,5,language_meta_formal
BRANCH_OF,4,8,4,1,containment_typing_structure
CONDITIONS,4,8,1,4,support_constraint_admissibility
CONTAINS_BRANCH,4,8,1,4,containment_typing_structure
CORRESPONDS_TO,4,9,4,4,other_or_source_specific
INLINE_CHAIN,4,10,4,4,dependency_ordering
MAPS_TO,4,8,4,4,composition_transformation_transport
OBSERVES,4,8,2,3,realization_representation_readout
SOURCES,4,6,4,3,provenance_recovery_history
USES_OPERATOR,4,10,3,3,coupling_connectivity
USES_RECOVERED_ROUTE,4,4,3,3,provenance_recovery_history
ACTS_THROUGH,3,6,1,3,composition_transformation_transport
CONDITIONALLY_SUPPORTS,3,3,2,3,support_constraint_admissibility
CONNECTS,3,6,2,3,coupling_connectivity
DECOMPOSES_TO,3,7,1,3,composition_transformation_transport
DERIVES_FROM,3,8,3,2,other_or_source_specific
ENTRY_ROOT_FOR,3,8,2,3,other_or_source_specific
GOVERNED_BY,3,6,3,2,support_constraint_admissibility
ROUTES_OVER,3,3,1,3,other_or_source_specific
WITNESSES_CONDITIONALLY,3,3,3,2,support_constraint_admissibility
BOUNDED_BY,2,4,2,1,support_constraint_admissibility
BOUNDS,2,3,2,2,support_constraint_admissibility
BUILT_FROM,2,4,2,2,other_or_source_specific
CAN_ROUTE_TO,2,2,1,2,other_or_source_specific
COMPONENT_OF,2,4,2,1,containment_typing_structure
COMPOSES_WITH,2,3,2,2,composition_transformation_transport
CONCLUDES,2,4,1,2,other_or_source_specific
DEFINED_BY,2,4,2,1,other_or_source_specific
ENABLES,2,3,2,2,other_or_source_specific
FACTORS,2,2,2,2,composition_transformation_transport
HAS,2,4,1,2,other_or_source_specific
HAS_PROPERTY,2,4,1,2,other_or_source_specific
HISTORICAL_REPRESENTATION_PRECEDENT_FOR,2,2,2,1,dependency_ordering
IMPLIED_BY,2,4,2,2,other_or_source_specific
IMPLIES,2,5,2,2,other_or_source_specific
INDUCES,2,4,2,2,generation_causation
IS_REPRESENTATION_OF,2,4,2,1,realization_representation_readout
MAPS_BY,2,4,2,2,composition_transformation_transport
MEASURED_BY,2,5,2,2,realization_representation_readout
MODE_1_REPRESENTATION_OF,2,4,2,1,realization_representation_readout
OBSERVED_BY,2,4,2,2,realization_representation_readout
OBSERVED_THROUGH,2,4,1,2,realization_representation_readout
OPENS_GATE,2,2,1,2,other_or_source_specific
ORGANIZES_ADMISSIBILITY_FOR,2,2,1,2,support_constraint_admissibility
ORGANIZES_AS,2,4,2,2,other_or_source_specific
PARTITIONS,2,4,1,2,containment_typing_structure
PERTURBS,2,5,2,2,other_or_source_specific
PRESERVES_AS,2,3,2,1,other_or_source_specific
PROPERTY_OF,2,4,2,1,other_or_source_specific
REFERENCES,2,4,2,1,provenance_recovery_history
RELATES,2,4,2,2,coupling_connectivity
REQUIRES_AUDIT,2,5,2,2,support_constraint_admissibility
REQUIRES_NEGATIVE,2,4,1,2,support_constraint_admissibility
RESTRUCTURES,2,4,1,2,other_or_source_specific
ROUTES_THROUGH,2,2,2,2,other_or_source_specific
SATISFIES,2,4,1,2,support_constraint_admissibility
SATISFIES_CONDITIONALLY,2,2,2,1,support_constraint_admissibility
SOURCE_DEFINES_SECTOR,2,2,2,1,containment_typing_structure
SOURCE_EQUATION_SUPPORTS,2,2,2,2,support_constraint_admissibility
SOURCE_READOUT_MAPPING_SUPPORTS,2,2,1,2,support_constraint_admissibility
SOURCE_SUPPORTS,2,2,2,2,support_constraint_admissibility
SPLITS_INTO,2,4,1,2,other_or_source_specific
TRANSPORTS,2,2,1,2,composition_transformation_transport
USES_CATALOG,2,2,2,2,coupling_connectivity
USES_REALIZATION_TARGET,2,2,2,1,realization_representation_readout
ACTS_ON,1,2,1,1,composition_transformation_transport
ADJOINS,1,2,1,1,other_or_source_specific
ADMITS_EDGE,1,2,1,1,other_or_source_specific
AFFECTS,1,2,1,1,other_or_source_specific
ARISES_FROM,1,2,1,1,generation_causation
ARISES_IN,1,3,1,1,generation_causation
AT_VACUUM,1,2,1,1,other_or_source_specific
CAN_REALIZE_FROM,1,1,1,1,realization_representation_readout
CARRIES,1,3,1,1,other_or_source_specific
CAUSES,1,2,1,1,coupling_connectivity
CERTIFIES,1,2,1,1,validation_observation
CLOSES_UNDER,1,2,1,1,other_or_source_specific
COARSE_GRAINS_FROM,1,1,1,1,other_or_source_specific
CODOMAIN,1,2,1,1,containment_typing_structure
COMPARED_WITH,1,2,1,1,validation_observation
COMPOSED_DEPENDENCY_VIA_WHITE_STATE_CORE,1,2,1,1,dependency_ordering
COMPOSES,1,2,1,1,composition_transformation_transport
COMPOSES_BY,1,2,1,1,composition_transformation_transport
COMPOSES_FROM,1,1,1,1,composition_transformation_transport
CONDITIONALLY_DISCHARGES,1,1,1,1,support_constraint_admissibility
CONDITIONALLY_REALIZES,1,1,1,1,support_constraint_admissibility
CONDITIONAL_BASIN_WEIGHTING,1,1,1,1,support_constraint_admissibility
CONDITIONAL_COMPONENT_READOUT,1,1,1,1,support_constraint_admissibility
CONTAINS_PROJECTION,1,1,1,1,realization_representation_readout
CONTRACTS,1,2,1,1,composition_transformation_transport
CONTRACTS_TO,1,2,1,1,composition_transformation_transport
CONTROLS,1,2,1,1,other_or_source_specific
CORRESPOND_TO,1,3,1,1,other_or_source_specific
CREATES_PROBLEM,1,3,1,1,generation_causation
DEFINES_DOMAIN,1,3,1,1,containment_typing_structure
DESCENDS_FROM,1,1,1,1,other_or_source_specific
DOMAIN,1,2,1,1,containment_typing_structure
DOMAIN_RECOVERED_BY,1,2,1,1,containment_typing_structure
DOWNSTREAM_OF,1,2,1,1,dependency_ordering
DRIVEN_BY,1,2,1,1,generation_causation
DRIVES,1,2,1,1,generation_causation
ENTERS_SOURCE_DOMAIN_OF,1,1,1,1,containment_typing_structure
EVALUATES,1,2,1,1,other_or_source_specific
EVOLVES,1,2,1,1,composition_transformation_transport
EVOLVES_AS,1,3,1,1,composition_transformation_transport
EXPOSES,1,2,1,1,other_or_source_specific
EXTENDS_TO,1,2,1,1,other_or_source_specific
EXTENDS_WITH,1,1,1,1,other_or_source_specific
FORMALIZES,1,2,1,1,other_or_source_specific
HANDOFFS_TO,1,1,1,1,realization_representation_readout
HAS_ACTIVE_GEOMETRY_LEVEL,1,1,1,1,other_or_source_specific
HAS_AVAILABLE_FREEDOM,1,2,1,1,other_or_source_specific
HAS_BANDWIDTH_COORDINATE,1,2,1,1,other_or_source_specific
HAS_BOUNDARY,1,2,1,1,support_constraint_admissibility
HAS_CANONICAL_ORDER_READOUT,1,2,1,1,realization_representation_readout
HAS_CONFIGURATION_GRAPH,1,2,1,1,other_or_source_specific
HAS_DOWNSTREAM_BOUNDARY,1,2,1,1,dependency_ordering
HAS_ENVIRONMENTAL_ANCESTRY,1,2,1,1,other_or_source_specific
HAS_INVARIANT,1,2,1,1,other_or_source_specific
HAS_LOCAL_STATE,1,2,1,1,other_or_source_specific
HAS_MASS_RESPONSE,1,2,1,1,other_or_source_specific
HAS_MODE_0_REPRESENTATION,1,2,1,1,realization_representation_readout
HAS_MODE_1_REPRESENTATION,1,2,1,1,realization_representation_readout
HAS_NATIVE_REALIZATION,1,2,1,1,realization_representation_readout
HAS_OPERATOR_GRAMMAR,1,2,1,1,other_or_source_specific
HAS_ORDER_CONDITIONED_MASS_READOUT,1,2,1,1,support_constraint_admissibility
HAS_PROJECTION_INTERFACE,1,2,1,1,realization_representation_readout
HAS_READABLE_REALIZATION_TARGET,1,2,1,1,realization_representation_readout
HAS_READOUT_STRUCTURE,1,2,1,1,realization_representation_readout
HAS_RESOLUTION_COORDINATE,1,2,1,1,other_or_source_specific
HAS_SHORTCUT,1,1,1,1,other_or_source_specific
HAS_STATE,1,1,1,1,other_or_source_specific
HAS_TARGET,1,2,1,1,other_or_source_specific
HAS_VACUUM_ORDER,1,2,1,1,other_or_source_specific
HAS_WORK_LAYER_CLOSURE,1,2,1,1,other_or_source_specific
HISTORICAL_ACTION_FAMILY_SUPPORTS,1,1,1,1,support_constraint_admissibility
HISTORICAL_ACTION_SLOT_SUPPORTS,1,1,1,1,support_constraint_admissibility
HISTORICAL_ALTERNATE_FORMULATION_OF,1,1,1,1,provenance_recovery_history
HISTORICAL_ALTERNATE_SOURCE_ROUTE,1,1,1,1,provenance_recovery_history
HISTORICAL_FORMULATION_OF,1,1,1,1,provenance_recovery_history
HISTORICAL_READOUT_MAPPING_SUPPORTS,1,1,1,1,support_constraint_admissibility
HISTORICAL_SOURCE_SUPPORTS,1,1,1,1,support_constraint_admissibility
HOSTS,1,2,1,1,other_or_source_specific
IDENTIFIED_BY,1,2,1,1,other_or_source_specific
IMPLIES_BRANCH,1,2,1,1,containment_typing_structure
