source_path,archive_path,group_name,role,status,notes,sha256,size_bytes
/mnt/data/3 | .zip,07_SOURCE_CORPUS/01_CUMULATIVE_LIVE_MODELS/3 | GENESIS_CHIRALITY_FULL_CUMULATIVE_v9.zip,cumulative_live_model,"Independent Genesis Chirality full cumulative QMO/history v9, including torus and R1-R59 lineage.",included,,aae667101e8a285040f665d1fb489b67a8268a88062e30df292416c409c21bb2,364892365
/mnt/data/6 | 🖤🌀🏴‍☠️.zip,07_SOURCE_CORPUS/01_CUMULATIVE_LIVE_MODELS/6 | GENESIS_PROPAGATION_GIRL_PROJECT_v8.zip,cumulative_live_model,"Independent Propagation Girl Project full continuity v8, closed through R87 and stopped at R88.",included,,4ecef0cc37f61292403311078426674ff874e4f4d1814a8ed468d59d0e62eae6,233685828
/mnt/data/CRD - QCD Inheritance.zip,07_SOURCE_CORPUS/01_CUMULATIVE_LIVE_MODELS/CRD_TO_QCD_INHERITANCE_FULL_v1_9.zip,cumulative_live_model,Full CRD-to-QCD inheritance archive v1.9 with embedded v1.2-v1.8 parent chain.,included,,4f6def627cdd93e0c3ef84b703f951e0a9f13e596c1f385e736efd5871001e60,360400705
/mnt/data/MK43_ULTRA_UNIFIED_QMO_API_v2_0_CANDIDATE_20260826.zip,07_SOURCE_CORPUS/02_UNIFIED_API_QMO/MK43_ULTRA_UNIFIED_QMO_API_v2_0_CANDIDATE_20260826.zip,api,Initial unified QMO API candidate.,included,,9684e6632d96dd567ce94ee17dfee446dbd19944e33e7014c2f535301cb77d03,45016686
/mnt/data/MK43_ULTRA_UNIFIED_QMO_API_v2_1_R5_SELF_CLOSED_20260826.zip,07_SOURCE_CORPUS/02_UNIFIED_API_QMO/MK43_ULTRA_UNIFIED_QMO_API_v2_1_R5_SELF_CLOSED_20260826.zip,api,Self-closed unified API after five repeated-squaring passes.,included,,563f19343591b422c3dcbe90a7a9ca9315c183e2e674300100a8e1ab2f46896e,64694615
/mnt/data/MK43_TIME_SPACE_CONSCIOUSNESS_BIDIRECTIONAL_QMO_v1_0_20260827.zip,07_SOURCE_CORPUS/02_UNIFIED_API_QMO/MK43_TIME_SPACE_CONSCIOUSNESS_BIDIRECTIONAL_QMO_v1_0_20260827.zip,qmo,Consolidated bidirectional Time-Space/Consciousness QMO and formalization.,included,,ee2664fbfd3f91d0d4313e4f6780a94f22a8401e16ef1fb497203a35b78cbac7,47098995
/mnt/data/QMO_CONSCIOUSNESS_TO_TIME_SPACE_API_CRAWL_R8_20260826.zip,07_SOURCE_CORPUS/02_UNIFIED_API_QMO/QMO_CONSCIOUSNESS_TO_TIME_SPACE_API_CRAWL_R8_20260826.zip,qmo,Reverse-rooted API crawl to fixed point.,included,,430cff8a7ea674be62d80bc8d646b3abbac1dce00da042b2855be5b0ed74bb48,34343108
/mnt/data/QMO_TIME_SPACE_TO_CONSCIOUSNESS_R10_FULL_EDGE_CLOSURE_20260826.zip,07_SOURCE_CORPUS/02_UNIFIED_API_QMO/QMO_TIME_SPACE_TO_CONSCIOUSNESS_R10_FULL_EDGE_CLOSURE_20260826.zip,qmo,Ten-pass full edge closure QMO.,included,,ea22501c33809a01e6343475141b3e29642953b1781091982a60a13d5063cf74,25643044
/mnt/data/QMO_FULL_MATHEMATICAL_FORMALIZATION_v1_0_20260826.zip,07_SOURCE_CORPUS/02_UNIFIED_API_QMO/QMO_FULL_MATHEMATICAL_FORMALIZATION_v1_0_20260826.zip,formalization,Full finite mathematical map of the bidirectional QMO.,included,,d172c1a395fc555c0123a00816ddc79d3e4b0a83008a1d7899f8e570e802f06f,15766768
/mnt/data/QMO_TIME_SPACE_TO_CONSCIOUSNESS_20260826.json,07_SOURCE_CORPUS/02_UNIFIED_API_QMO/QMO_TIME_SPACE_TO_CONSCIOUSNESS_20260826.json,qmo_seed,Initial bounded route QMO.,included,,50c0a2a4f0d4897c1174a59b9bd7ef35ed91082f9c1330188e1fb7dc18e06f73,45071
/mnt/data/2.0 | Internal Mapping.zip,07_SOURCE_CORPUS/02_UNIFIED_API_QMO/2.0 | Internal Mapping.zip,api_parent,Parent unified physics/QMO architecture used for API deconstruction.,included,,dca62b53a1f12a75734e9b3c4fa9f78849c2db14f12feb283143c5267cf50f2c,6123157
/mnt/data/ASTRAEUS_RAINBOW_ROAD_OBJECT_MATH_API_v0.15.0_20260822.zip,07_SOURCE_CORPUS/02_UNIFIED_API_QMO/ASTRAEUS_RAINBOW_ROAD_OBJECT_MATH_API_v0.15.0_20260822.zip,api_parent,Rainbow Road object mathematics API.,included,,e89123f7d4833d51516d6c6d4674cf696c909e8b017e1926d0b404aa8b1e0775,37214550
/mnt/data/VERA_API_LIVE_MODEL_v0.8.0_20260822.zip,07_SOURCE_CORPUS/02_UNIFIED_API_QMO/VERA_API_LIVE_MODEL_v0.8.0_20260822.zip,api_parent,Vera live-model/provenance API.,included,,1ec8704ada2051f7f6705e955f341e9a7f93f726e7ce9ca85b24941a14e9895d,315533
/mnt/data/CRD_TO_QCD_INHERITANCE_ROADMAP_v1_2_QMO_LITE_20260825.zip,07_SOURCE_CORPUS/03_CRD_QCD_DIRECT_PARENTS/CRD_TO_QCD_INHERITANCE_ROADMAP_v1_2_QMO_LITE_20260825.zip,crd_qcd_parent,Direct parent upload v1.2.,included,,63c3067784a14c1c967717f0095b06dbe459c8e7d8107e2858de9731747a7522,54609
/mnt/data/CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_3_QMO_LITE_20260825.zip,07_SOURCE_CORPUS/03_CRD_QCD_DIRECT_PARENTS/CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_3_QMO_LITE_20260825.zip,crd_qcd_parent,Direct parent upload v1.3.,included,,a9d1ebe32a8c0ad67d5e81b396176e3e77aeed8db3b65758423823a757155170,422872
/mnt/data/CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_4_ROAD_HELICON_TYPED_20260826.zip,07_SOURCE_CORPUS/03_CRD_QCD_DIRECT_PARENTS/CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_4_ROAD_HELICON_TYPED_20260826.zip,crd_qcd_parent,Direct parent upload v1.4.,included,,3d1c5d43cc49652e2b524efeea071e1cecaad2de250a990d30d73bb55ff35567,11245051
/mnt/data/CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_5_RESIDUE_DESCENT_GATE_20260826.zip,07_SOURCE_CORPUS/03_CRD_QCD_DIRECT_PARENTS/CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_5_RESIDUE_DESCENT_GATE_20260826.zip,crd_qcd_parent,Direct parent upload v1.5.,included,,fbac13d91ec72b67a2f4c8860a29ac5d0094ca4a20b7e282c888dbb17e12d4c5,22515658
/mnt/data/CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_6_SU3_REDUCTION_NOGO_20260826.zip,07_SOURCE_CORPUS/03_CRD_QCD_DIRECT_PARENTS/CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_6_SU3_REDUCTION_NOGO_20260826.zip,crd_qcd_parent,Direct parent upload v1.6.,included,,fbcecaa777315dc6a22b8b2a90c8c9aca7940f3752a329d31f0ec7407bf26b6c,45033576
/mnt/data/CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_7_CORRIDOR_CARRIER_BACKFILL_20260826.zip,07_SOURCE_CORPUS/03_CRD_QCD_DIRECT_PARENTS/CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_7_CORRIDOR_CARRIER_BACKFILL_20260826.zip,crd_qcd_parent,Direct parent upload v1.7.,included,,bc763993c69e41d4cb5bc8206a8f894dedf2f944e7f135ef0ba46a38b8079d58,90083953
/mnt/data/CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_8_TIMESHELL_Q_HANDOFF_BLOCKER_20260826.zip,07_SOURCE_CORPUS/03_CRD_QCD_DIRECT_PARENTS/CRD_TO_QCD_INHERITANCE_LIVE_MODEL_v1_8_TIMESHELL_Q_HANDOFF_BLOCKER_20260826.zip,crd_qcd_parent,Direct parent upload v1.8.,included,,23421f5602bfabccdb898eafa9d5a5d7ce479cb59512a535c9efbb9d20d08385,180181455
/mnt/data/Archive(1).zip,07_SOURCE_CORPUS/03_CRD_QCD_DIRECT_PARENTS/Archive(1).zip,crd_qcd_sources,First recovered CRD-QCD umbrella/source package.,included,,891da1f5c61a233e9d63fda7b5afc9ab37c560c8b32163447558721eae51d528,10899298
/mnt/data/MK Ultra.pdf,07_SOURCE_CORPUS/04_MK43_CORE/MK Ultra.pdf,tome,"MK Ultra — THE TOME, volumes I-XVIII.",included,,cca59f71a28079fb6fc511df7b811a88b7e3fde97d84bc1f299c3f4b86b12e8d,67402112
/mnt/data/6 | Unified Rainbow Road Overlay.zip,07_SOURCE_CORPUS/04_MK43_CORE/6 | Unified Rainbow Road Overlay.zip,source_archive,Unified Rainbow Road overlay.,included,,750530d37111b5133577aca9dca523d276cc9bbce586ceebb7250ad1b4234bed,88305195
/mnt/data/1.0 | QFT - GR BRIDGE.zip,07_SOURCE_CORPUS/04_MK43_CORE/1.0 | QFT - GR BRIDGE.zip,source_archive,QFT-GR bridge and organizational-layer source.,included,,0d93f8a69782af74fee7309024c372290893ce4133d8009ac8ff284602439ecc,11931854
/mnt/data/Rainbow_road.zip,07_SOURCE_CORPUS/04_MK43_CORE/Rainbow_road.zip,source_archive,Rainbow Road source.,included,,c9dbe0b4ee3bb7643c35d3bad9929165de50ebc14f49bfdc93376223cd155c9b,10386950
/mnt/data/CFP.pdf,07_SOURCE_CORPUS/04_MK43_CORE/CFP.pdf,paper,Chiral Fractal Projection report.,included,,752f8fe6d230dc23b1cc3c2c239fe11501379b7fbfec874372fa68b416833d76,854970
/mnt/data/CFP_exp.zip,07_SOURCE_CORPUS/04_MK43_CORE/CFP_exp.zip,source_archive,CFP experiment package.,included,,1346d283be75525caf916e4c0bef862365306cf0c9b6b4f54ac64ce5766481db,36704726
